Serial No.,District/State,Female Literacy,% of Agriculture Labour 2011,"Wealth Index Score, 2011",MPCE(MMRP) at 2011-12,"Poverty Head Ratio (%), 2010 - 2011","Poverty Gap Ratio (%), 2010-11","Squared Poverty Gap Ratio %, 2010-11","Gini, 2010 - 2011",Log Mean Deviation,Theil Index,All India Rank of District in poverty head count ratio,Distric Rank in Poverty Head Count Ratio among all Districts in the State,"Sample Size, NSS"
115,Bijapur,31.11,33.05,8.37,917,72.07,20.49,7.34,0.29,0.15,0.41,607,17,695
116,Bastar,44.26,34.95,16.79,834,78.93,23.61,9.01,0.27,0.13,0.40,617,18,256
,Chhattisgarh,60.24,32.65,22.44,"1,137",51.99,13.32,4.79,0.31,0.16,0.30,,,"4,405"
117,Dadra and Nagar Haveli,64.32,9.38,30.40,"1,500",46.61,9.97,2.82,0.35,0.20,0.30,459,,382
118, Diu,76.06,0.90,44.60,"2,077",21.55,4.56,1.28,0.29,0.14,0.15,208,1,176
119,Daman,80.98,0.39,39.06,"1,999",25.49,5.00,1.37,0.28,0.13,0.15,250,2,256
,Daman and Diu,79.55,0.46,40.01,"1,999",25.49,5.00,1.37,0.28,0.13,0.15,,,256
120,South Goa,83.47,4.07,64.31,"2,639",4.57,1.08,0.34,0.23,0.09,0.13,12,,447
121,North Goa,85.60,3.78,64.27,"2,593",8.88,1.67,0.49,0.27,0.12,0.14,45,,447
,Goa,84.66,3.90,64.23,"2,616",6.66,1.37,0.41,0.25,0.10,0.14,,,894
122,Amreli,66.09,24.84,35.37,"1,711",7.56,1.41,0.42,0.19,0.06,0.10,30,1,192
123,Junagadh,66.86,22.27,36.50,"1,873",14.04,2.42,0.76,0.23,0.08,0.10,94,2,320
124,Rajkot,74.43,10.70,49.68,"2,218",16.46,2.45,0.51,0.29,0.13,0.19,138,3,440
125,Jamnagar,65.33,13.68,40.66,"1,665",19.46,3.50,0.88,0.18,0.05,0.08,179,4,288
126,Ahmedabad,79.35,8.56,53.73,"2,513",24.39,4.67,1.27,0.33,0.18,0.33,231,5,793
127,Sabarkantha,64.69,24.28,24.83,"1,463",25.26,5.47,1.64,0.22,0.07,0.09,243,6,252
128,Surat,80.37,8.24,42.99,"2,101",26.95,5.89,1.92,0.29,0.14,0.16,264,7,682
129,Kachchh,60.87,19.03,34.03,"2,048",27.48,3.49,0.70,0.35,0.19,0.30,271,8,191
130,Bharuch,75.09,30.77,33.66,"1,923",28.33,3.50,0.82,0.25,0.10,0.12,278,9,192
131,Bhavnagar,66.08,20.59,36.45,"1,654",30.35,6.28,2.14,0.24,0.10,0.17,284,10,320
132,Navsari,78.83,23.57,38.23,"1,714",32.06,6.79,1.76,0.30,0.14,0.26,304,11,192
133,Porbandar,67.75,16.25,36.52,"1,737",32.14,6.44,2.17,0.21,0.07,0.09,305,12,128
134,Valsad,72.06,19.80,35.39,"2,066",32.68,6.21,1.50,0.32,0.16,0.20,310,13,192
135,Anand,76.36,34.32,31.27,"1,477",35.51,5.91,1.62,0.21,0.07,0.10,341,14,249
136,Surendranagar,61.45,29.71,32.83,"1,808",35.95,7.31,2.15,0.33,0.18,0.32,345,15,192
137,The Dangs,67.38,24.72,12.37,"1,775",37.14,7.54,2.30,0.31,0.16,0.21,356,16,"2,463"
138,Vadodara,72.03,27.30,43.80,"1,794",37.71,9.14,2.92,0.33,0.18,0.24,367,17,502
139,Narmada,63.09,51.96,16.65,"1,312",38.09,4.46,0.84,0.19,0.07,0.11,374,18,192
140,Gandhinagar,75.76,19.65,42.28,"1,678",39.13,9.38,3.43,0.30,0.14,0.20,383,19,192
141,Kheda,73.49,32.67,23.37,"1,200",40.96,12.24,5.20,0.22,0.09,0.10,395,20,189
142,Mahesana,75.32,23.06,33.95,"1,603",43.32,6.10,1.51,0.32,0.18,0.53,430,21,191
143,Panch Mahals,58.89,29.98,19.02,"1,290",48.67,8.79,2.42,0.23,0.08,0.11,479,22,256
144,Banaskantha,51.75,21.96,20.12,"1,241",49.02,10.21,2.98,0.22,0.08,0.11,486,23,255
145,Patan,61.05,32.42,24.35,"1,399",55.19,12.60,4.00,0.33,0.20,1.22,533,24,192
146,Dahod,47.65,36.64,13.85,"1,045",68.30,13.44,4.55,0.19,0.07,0.10,593,25,191
147,Tapi,61.16,38.79,22.97,,,,,,,,,,
,Gujarat,69.68,21.63,36.64,"1,811",32.26,6.49,1.99,0.31,0.15,0.26,,,"6,847"
148,Jhajjar,70.73,12.59,42.53,"2,350",4.57,0.52,0.12,0.25,0.10,0.12,13,1,192
149,Gurgaon,77.98,4.40,64.21,"4,184",4.77,1.10,0.41,0.42,0.29,0.47,16,2,248
150,Sonipat,69.80,17.01,42.64,"2,346",8.67,1.56,0.45,0.24,0.10,0.11,40,3,320
151,Rewari,69.57,7.63,42.09,"2,444",10.24,2.04,0.60,0.32,0.16,0.24,60,4,192
152,Rohtak,71.72,9.36,44.35,"2,490",13.16,1.78,0.43,0.28,0.13,0.15,83,5,254
153,Kaithal,59.24,20.60,40.80,"2,006",13.27,2.52,0.65,0.28,0.13,0.23,85,6,192
154,Mewat,36.60,17.31,23.69,"1,739",13.70,2.87,0.72,0.26,0.12,0.24,89,7,192
155,Jind,60.76,16.94,39.86,"2,147",14.04,3.25,1.14,0.28,0.13,0.17,93,8,320
156,Kurukshetra,68.84,22.04,50.27,"2,190",14.16,2.36,0.57,0.30,0.14,0.21,96,9,192
157,Bhiwani,63.54,14.77,35.04,"2,111",14.22,2.29,0.61,0.27,0.12,0.16,98,10,320
158,Karnal,66.82,22.99,45.11,"2,328",15.70,2.72,0.79,0.34,0.20,0.87,125,11,320
159,Mahendragarh,64.57,10.64,34.62,"1,964",16.40,3.23,1.03,0.25,0.10,0.10,137,12,192
160,Panchkula,75.99,5.37,62.63,"3,289",17.34,4.33,1.48,0.44,0.32,0.53,152,13,152
161,Faridabad,73.84,4.47,57.54,"2,930",17.65,4.05,1.43,0.42,0.29,0.74,157,14,494
162,Ambala,75.50,14.36,54.23,"2,387",19.45,2.37,0.53,0.37,0.22,0.37,177,15,253
163,Hisar,62.25,17.67,41.12,"2,003",19.77,3.80,1.07,0.30,0.15,0.22,185,16,352
164,Panipat,67.00,13.42,42.75,"2,116",19.87,3.76,1.02,0.28,0.13,0.18,187,17,256
165,Yamunanagar,71.38,17.86,46.91,"1,769",28.44,5.53,1.65,0.26,0.11,0.14,279,18,288
166,Sirsa,60.40,25.45,42.62,"1,783",30.92,8.34,3.29,0.31,0.16,0.21,295,19,288
167,Fatehabad,58.87,23.07,39.73,"1,660",30.92,7.44,2.32,0.30,0.15,0.28,296,20,192
168,Palwal,54.23,17.95,37.70,,,,,,,,,,
,Haryana,65.94,15.20,44.91,"2,350",16.25,3.27,1.02,0.34,0.20,0.43,,,"5,209"
169,Shimla,77.13,4.63,37.41,"2,495",2.33,0.46,0.10,0.28,0.13,0.21,2,1,445
170,Kinnaur,70.96,3.44,34.23,"2,586",3.41,0.54,0.21,0.33,0.19,0.34,5,2,128
171,Kangra,80.02,7.72,38.13,"2,406",4.33,0.55,0.09,0.30,0.14,0.19,11,3,320
172,Una,81.11,8.52,44.12,"2,037",5.00,1.31,0.47,0.27,0.12,0.23,18,4,320
173,Lahaul and Spiti,66.84,2.47,31.77,"2,018",5.79,0.79,0.18,0.25,0.10,0.15,24,5,128
174,Hamirpur,82.62,2.88,40.10,"1,820",9.34,1.57,0.42,0.25,0.10,0.17,51,6,696
175,Sirmaur,71.36,3.21,35.47,"2,438",9.89,1.47,0.38,0.35,0.20,0.41,56,7,381
